[2025-10-11 18:26:09] {jeet1} ('127.0.0.1', 61937) :- joined the room
[2025-10-11 18:26:16] {jeet} ('127.0.0.1', 61938) :- joined the room
[2025-10-11 18:26:22] {jeet1} ('127.0.0.1', 61962) :- joined the room
[2025-10-11 18:26:25] {jeet1} ('127.0.0.1', 61962) :- hi
[2025-10-11 18:26:27] {jeet1} ('127.0.0.1', 61937) :- hih
[2025-10-11 18:26:28] {jeet1} ('127.0.0.1', 61937) :- hi
[2025-10-11 18:26:29] {jeet1} ('127.0.0.1', 61937) :- hi
[2025-10-11 18:26:30] {jeet1} ('127.0.0.1', 61937) :- hi
[2025-10-11 18:26:31] {jeet1} ('127.0.0.1', 61962) :- sd
[2025-10-11 18:26:32] {jeet1} ('127.0.0.1', 61962) :- s
[2025-10-11 18:26:32] {jeet1} ('127.0.0.1', 61962) :- d
[2025-10-11 18:26:32] {jeet1} ('127.0.0.1', 61962) :- a
[2025-10-11 18:26:32] {jeet1} ('127.0.0.1', 61962) :- ds
[2025-10-11 18:26:32] {jeet1} ('127.0.0.1', 61962) :- ad
[2025-10-11 18:26:33] {jeet1} ('127.0.0.1', 61962) :- as
[2025-10-11 18:26:33] {jeet1} ('127.0.0.1', 61962) :- d
[2025-10-11 18:27:19] {jeet1} ('127.0.0.1', 61937) :- dfd
[2025-10-11 18:27:21] {jeet1} ('127.0.0.1', 61937) :- fdfd
[2025-10-11 18:32:26] {jeet} ('127.0.0.1', 62684) :- joined the room
[2025-10-11 18:32:53] {jeet} ('127.0.0.1', 62717) :- joined the room
[2025-10-11 18:32:53] Server :- Failed to broadcast: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-11 18:32:53] Server :- Failed to broadcast: [WinError 10038] An operation was attempted on something that is not a socket
[2025-10-11 18:36:45] {jeet} ('127.0.0.1', 62684) :- jeet
[2025-10-11 18:36:46] {jeet} ('127.0.0.1', 62684) :- sds
[2025-10-11 18:36:46] {jeet} ('127.0.0.1', 62684) :- ds
[2025-10-11 18:36:46] {jeet} ('127.0.0.1', 62684) :- d
[2025-10-11 18:36:46] {jeet} ('127.0.0.1', 62684) :- s
[2025-10-11 18:36:46] {jeet} ('127.0.0.1', 62684) :- d
[2025-10-11 18:36:47] {jeet} ('127.0.0.1', 62684) :- s
[2025-10-11 18:36:47] {jeet} ('127.0.0.1', 62684) :- d
[2025-10-11 18:36:47] {jeet} ('127.0.0.1', 62684) :- s
[2025-10-11 18:36:47] {jeet} ('127.0.0.1', 62684) :- d
[2025-10-11 18:36:49] {jeet} ('127.0.0.1', 62717) :- s
