[2025-10-11 19:02:34] {jeet} ('127.0.0.1', 50497) :- joined the room
[2025-10-11 19:02:39] {jeet} ('127.0.0.1', 50489) :- joined the room
[2025-10-11 19:02:48] {jeet} ('127.0.0.1', 50530) :- joined the room
[2025-10-11 19:02:56] {jeet} ('127.0.0.1', 50497) :- dsds
[2025-10-11 19:02:56] {jeet} ('127.0.0.1', 50497) :- sd
[2025-10-11 19:02:56] {jeet} ('127.0.0.1', 50497) :- s
[2025-10-11 19:02:56] {jeet} ('127.0.0.1', 50497) :- ds
[2025-10-11 19:02:57] {jeet} ('127.0.0.1', 50497) :- ds
[2025-10-11 19:02:58] {jeet} ('127.0.0.1', 50530) :- sd
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:02:59] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:03:00] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:03:05] {jeet} ('127.0.0.1', 50530) :- dsd
[2025-10-11 19:03:05] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:03:05] {jeet} ('127.0.0.1', 50530) :- ds
[2025-10-11 19:03:05] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:03:05] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:03:10] {jeet} ('127.0.0.1', 50497) :- dsdsds
[2025-10-11 19:03:10] {jeet} ('127.0.0.1', 50497) :- d
[2025-10-11 19:03:10] {jeet} ('127.0.0.1', 50497) :- s
[2025-10-11 19:03:10] {jeet} ('127.0.0.1', 50497) :- ds
[2025-10-11 19:03:11] {jeet} ('127.0.0.1', 50497) :- ds
[2025-10-11 19:03:13] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:03:13] {jeet} ('127.0.0.1', 50530) :- sds
[2025-10-11 19:03:13] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:03:14] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:03:14] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:03:14] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:03:37] {jeet} ('127.0.0.1', 50497) :- das
[2025-10-11 19:03:37] {jeet} ('127.0.0.1', 50497) :- a
[2025-10-11 19:03:38] {jeet} ('127.0.0.1', 50497) :- sa
[2025-10-11 19:03:38] {jeet} ('127.0.0.1', 50497) :- s
[2025-10-11 19:03:38] {jeet} ('127.0.0.1', 50497) :- a
[2025-10-11 19:03:50] {jeet} ('127.0.0.1', 50497) :- ssasa
[2025-10-11 19:03:50] {jeet} ('127.0.0.1', 50497) :- s
[2025-10-11 19:03:50] {jeet} ('127.0.0.1', 50497) :- a
[2025-10-11 19:03:50] {jeet} ('127.0.0.1', 50497) :- s
[2025-10-11 19:03:50] {jeet} ('127.0.0.1', 50497) :- a
[2025-10-11 19:03:50] {jeet} ('127.0.0.1', 50497) :- sa
[2025-10-11 19:03:51] {jeet} ('127.0.0.1', 50497) :- sa
[2025-10-11 19:09:42] {jeet} ('127.0.0.1', 50530) :- dds
[2025-10-11 19:09:43] {jeet} ('127.0.0.1', 50530) :- d
[2025-10-11 19:09:43] {jeet} ('127.0.0.1', 50530) :- sd
[2025-10-11 19:09:43] {jeet} ('127.0.0.1', 50530) :- s
[2025-10-11 19:09:47] {jeet} ('127.0.0.1', 50497) :- s
[2025-10-11 19:09:48] {jeet} ('127.0.0.1', 50497) :- ds
[2025-10-11 19:09:48] {jeet} ('127.0.0.1', 50497) :- d
[2025-10-11 19:09:48] {jeet} ('127.0.0.1', 50497) :- s
