[2025-10-11 18:55:45] {jex} ('127.0.0.1', 49369) :- joined the room
[2025-10-11 18:55:51] {jex} ('127.0.0.1', 49386) :- joined the room
[2025-10-11 18:55:53] {jex} ('127.0.0.1', 49386) :- hsdsd
[2025-10-11 18:55:53] {jex} ('127.0.0.1', 49386) :- sds
[2025-10-11 18:55:54] {jex} ('127.0.0.1', 49386) :- dsd
[2025-10-11 18:55:54] {jex} ('127.0.0.1', 49386) :- s
[2025-10-11 18:55:54] {jex} ('127.0.0.1', 49386) :- d
[2025-10-11 18:55:54] {jex} ('127.0.0.1', 49386) :- s
[2025-10-11 18:55:54] {jex} ('127.0.0.1', 49386) :- d
[2025-10-11 18:55:55] {jex} ('127.0.0.1', 49386) :- s
[2025-10-11 18:55:55] {jex} ('127.0.0.1', 49386) :- d
[2025-10-11 18:55:55] {jex} ('127.0.0.1', 49386) :- s
[2025-10-11 18:55:55] {jex} ('127.0.0.1', 49386) :- d
[2025-10-11 18:55:55] {jex} ('127.0.0.1', 49386) :- s
[2025-10-11 18:56:00] {jex} ('127.0.0.1', 49369) :- sds
[2025-10-11 18:56:00] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:00] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- ds
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:01] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- d
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- s
[2025-10-11 18:56:02] {jex} ('127.0.0.1', 49369) :- d
