[2025-10-11 19:39:31] {jeet} ('127.0.0.1', 54243) :- joined the room
[2025-10-11 19:39:32] {jeet} ('127.0.0.1', 54243) :- sd
[2025-10-11 19:39:32] Server :- Failed to broadcast: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:39:33] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:39:34] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:39:34] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:39:34] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:39:34] {jeet} ('127.0.0.1', 54243) :- ds
[2025-10-11 19:40:06] {jeet} ('127.0.0.1', 54243) :- dsds
[2025-10-11 19:40:06] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- sd
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- ds
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:07] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:08] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:08] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:08] {jeet} ('127.0.0.1', 54243) :- ds
[2025-10-11 19:40:08] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:09] {jeet} ('127.0.0.1', 54243) :- sds
[2025-10-11 19:40:09] {jeet} ('127.0.0.1', 54243) :- ds
[2025-10-11 19:40:09] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:09] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:09] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:09] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:40:10] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:40:24] {jeet} ('127.0.0.1', 54285) :- joined the room
[2025-10-11 19:40:25] {jeet} ('127.0.0.1', 54285) :- sds
[2025-10-11 19:40:26] {jeet} ('127.0.0.1', 54285) :- s
[2025-10-11 19:40:26] {jeet} ('127.0.0.1', 54285) :- ds
[2025-10-11 19:40:26] {jeet} ('127.0.0.1', 54285) :- d
[2025-10-11 19:40:26] {jeet} ('127.0.0.1', 54285) :- s
[2025-10-11 19:40:27] {jeet} ('127.0.0.1', 54285) :- ds
[2025-10-11 19:40:27] {jeet} ('127.0.0.1', 54285) :- ds
[2025-10-11 19:40:27] {jeet} ('127.0.0.1', 54285) :- d
[2025-10-11 19:40:27] {jeet} ('127.0.0.1', 54285) :- sd
[2025-10-11 19:40:27] {jeet} ('127.0.0.1', 54285) :- s
[2025-10-11 19:40:28] {jeet} ('127.0.0.1', 54285) :- ds
[2025-10-11 19:40:28] {jeet} ('127.0.0.1', 54285) :- ds
[2025-10-11 19:40:28] {jeet} ('127.0.0.1', 54285) :- d
[2025-10-11 19:40:28] {jeet} ('127.0.0.1', 54285) :- s
[2025-10-11 19:40:28] {jeet} ('127.0.0.1', 54285) :- ds
[2025-10-11 19:41:29] {jeet} ('127.0.0.1', 54243) :- ddsds
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- sd
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- ds
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- s
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- d
[2025-10-11 19:41:30] {jeet} ('127.0.0.1', 54243) :- s
