[2025-10-12 09:59:18] {jeet} ('127.0.0.1', 50082) :- joined the room 'default'
[2025-10-12 09:59:19] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 09:59:19] Server :- Failed to broadcast: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-12 09:59:19] Server :- Failed to broadcast: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-12 09:59:19] {jeet} ('127.0.0.1', 50082) :- d
[2025-10-12 09:59:19] {jeet} ('127.0.0.1', 50082) :- s
[2025-10-12 09:59:20] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 09:59:27] {jeet} ('127.0.0.1', 50097) :- joined the room 'default'
[2025-10-12 09:59:28] {jeet} ('127.0.0.1', 50097) :- ds
[2025-10-12 09:59:28] {jeet} ('127.0.0.1', 50097) :- ds
[2025-10-12 09:59:28] {jeet} ('127.0.0.1', 50097) :- d
[2025-10-12 09:59:29] {jeet} ('127.0.0.1', 50097) :- s
[2025-10-12 09:59:29] {jeet} ('127.0.0.1', 50097) :- Rotated session key.
[2025-10-12 09:59:29] {jeet} ('127.0.0.1', 50097) :- d
[2025-10-12 10:00:12] {jeet} ('127.0.0.1', 50128) :- joined the room 'default'
[2025-10-12 10:00:26] {jeet} ('127.0.0.1', 50139) :- joined the room 'default'
[2025-10-12 10:00:45] {jeet} ('127.0.0.1', 50082) :- Rotated session key.
[2025-10-12 10:00:45] {jeet} ('127.0.0.1', 50082) :- d
[2025-10-12 10:00:51] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:52] {jeet} ('127.0.0.1', 50082) :- s
[2025-10-12 10:00:52] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:52] {jeet} ('127.0.0.1', 50082) :- d
[2025-10-12 10:00:52] {jeet} ('127.0.0.1', 50082) :- Rotated session key.
[2025-10-12 10:00:52] {jeet} ('127.0.0.1', 50082) :- s
[2025-10-12 10:00:52] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:53] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:53] {jeet} ('127.0.0.1', 50082) :- sd
[2025-10-12 10:00:53] {jeet} ('127.0.0.1', 50082) :- s
[2025-10-12 10:00:54] {jeet} ('127.0.0.1', 50082) :- Rotated session key.
[2025-10-12 10:00:54] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:54] {jeet} ('127.0.0.1', 50082) :- d
[2025-10-12 10:00:55] {jeet} ('127.0.0.1', 50082) :- ss
[2025-10-12 10:00:55] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:56] {jeet} ('127.0.0.1', 50082) :- ds
[2025-10-12 10:00:56] {jeet} ('127.0.0.1', 50082) :- Rotated session key.
[2025-10-12 10:00:56] {jeet} ('127.0.0.1', 50082) :- d
[2025-10-12 10:00:57] {jeet} ('127.0.0.1', 50082) :- ss
[2025-10-12 10:00:57] {jeet} ('127.0.0.1', 50082) :- d
