[2025-10-11 19:11:26] {jeet} ('127.0.0.1', 51337) :- joined the room
[2025-10-11 19:11:28] {jeet} ('127.0.0.1', 51337) :- sdsd
[2025-10-11 19:11:28] {jeet} ('127.0.0.1', 51337) :- s
[2025-10-11 19:11:28] {jeet} ('127.0.0.1', 51337) :- d
[2025-10-11 19:11:28] {jeet} ('127.0.0.1', 51337) :- s
[2025-10-11 19:11:28] {jeet} ('127.0.0.1', 51337) :- ds
[2025-10-11 19:11:35] {('127.0.0.1', 51338)} ('127.0.0.1', 51338) :- AUTH ERROR: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-11 19:11:43] {jeet} ('127.0.0.1', 51377) :- joined the room
[2025-10-11 19:11:43] Server :- Failed to broadcast: [WinError 10038] An operation was attempted on something that is not a socket
[2025-10-11 19:11:45] {jeet} ('127.0.0.1', 51377) :- ds
[2025-10-11 19:11:45] {jeet} ('127.0.0.1', 51377) :- d
[2025-10-11 19:11:45] {jeet} ('127.0.0.1', 51377) :- s
[2025-10-11 19:11:45] {jeet} ('127.0.0.1', 51377) :- ds
[2025-10-11 19:11:45] {jeet} ('127.0.0.1', 51377) :- d
[2025-10-11 19:11:45] {jeet} ('127.0.0.1', 51377) :- s
[2025-10-11 19:11:46] {jeet} ('127.0.0.1', 51377) :- ds
[2025-10-11 19:11:46] {jeet} ('127.0.0.1', 51377) :- d
[2025-10-11 19:11:46] {jeet} ('127.0.0.1', 51377) :- s
[2025-10-11 19:11:46] {jeet} ('127.0.0.1', 51377) :- d
[2025-10-11 19:11:46] {jeet} ('127.0.0.1', 51377) :- sd
[2025-10-11 19:11:47] {jeet} ('127.0.0.1', 51377) :- s
[2025-10-11 19:11:47] {jeet} ('127.0.0.1', 51377) :- d
[2025-10-11 19:11:47] {jeet} ('127.0.0.1', 51377) :- s
[2025-10-11 19:11:47] {jeet} ('127.0.0.1', 51377) :- ds
