[2025-10-12 12:40:26] {jeet} ('192.168.56.1', 64831) :- joined the room 'default'
[2025-10-12 12:40:28] {jeet} ('192.168.56.1', 64831) :- d
[2025-10-12 12:40:28] {jeet} ('192.168.56.1', 64831) :- d
[2025-10-12 12:40:28] {jeet} ('192.168.56.1', 64831) :- d
[2025-10-12 12:40:40] {jeet} ('192.168.56.1', 64846) :- joined the room 'default'
[2025-10-12 12:40:43] {jeet} ('192.168.56.1', 64846) :- d
[2025-10-12 12:40:43] {jeet} ('192.168.56.1', 64846) :- d
[2025-10-12 12:42:22] {jeet} ('192.168.56.1', 64846) :- Rotated session key.
[2025-10-12 12:42:22] {jeet} ('192.168.56.1', 64846) :- d
[2025-10-12 12:42:22] {jeet} ('192.168.56.1', 64846) :- l
[2025-10-12 12:42:23] {jeet} ('192.168.56.1', 64846) :- l
[2025-10-12 12:42:23] {jeet} ('192.168.56.1', 64846) :- l
[2025-10-12 12:42:24] {jeet} ('192.168.56.1', 64846) :- l
